,,,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors
Rk,Year,Seed,Team,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1984,1,Los Angeles Lakers,27.1,14,7,0.667,15,6,114.7,108.0,6.7,100.1,0.320,0.039,0.574,,0.539,13.6,32.4,0.230,,0.467,13.3,64.2,0.264
2,1984,1,Boston Celtics,28.0,15,8,0.652,15,8,111.6,107.4,4.2,98.0,0.399,0.031,0.540,,0.478,13.5,35.7,0.313,,0.494,14.5,68.2,0.267
3,1984,2,Milwaukee Bucks,28.0,8,8,0.500,8,8,105.9,105.1,0.8,96.7,0.432,0.060,0.549,,0.490,16.3,31.8,0.326,,0.441,13.9,66.4,0.344
4,1984,4,Detroit Pistons,25.4,2,3,0.400,3,2,109.2,108.6,0.6,100.6,0.403,0.020,0.531,,0.468,13.6,35.3,0.314,,0.497,14.8,65.9,0.264
5,1984,6,New Jersey Nets,25.7,5,6,0.455,6,5,102.7,102.2,0.5,98.6,0.433,0.046,0.503,,0.450,14.9,36.3,0.297,,0.478,18.9,68.8,0.341
6,1984,6,Phoenix Suns,27.5,9,8,0.529,8,9,110.1,110.3,-0.2,97.8,0.317,0.034,0.548,,0.503,13.9,33.2,0.242,,0.499,13.9,67.7,0.280
7,1984,5,Seattle Supersonics,27.4,2,3,0.400,2,3,105.0,105.2,-0.2,90.5,0.200,0.045,0.506,,0.478,11.0,28.1,0.143,,0.432,10.8,68.1,0.253
8,1984,7,Denver Nuggets,27.2,2,3,0.400,2,3,114.8,115.4,-0.6,106.1,0.291,0.078,0.569,,0.517,12.4,30.4,0.251,,0.522,13.3,70.6,0.321
9,1984,2,Utah Jazz,26.8,5,6,0.455,5,6,109.4,110.6,-1.2,100.3,0.397,0.062,0.553,,0.494,14.6,31.1,0.310,,0.488,12.7,67.5,0.240
10,1984,3,Portland Trail Blazers,25.8,2,3,0.400,2,3,112.7,115.3,-2.6,97.5,0.444,0.029,0.545,,0.481,12.2,34.6,0.342,,0.539,13.2,69.5,0.263
11,1984,3,Philadelphia 76ers,28.3,2,3,0.400,2,3,102.5,105.6,-3.1,101.3,0.350,0.037,0.554,,0.486,19.0,29.6,0.305,,0.505,17.7,62.4,0.246
12,1984,8,Washington Bullets,26.6,1,3,0.250,2,2,103.9,107.0,-3.1,87.9,0.226,0.053,0.535,,0.492,14.8,27.2,0.191,,0.467,10.8,72.1,0.260
13,1984,5,New York Knicks,27.0,6,6,0.500,4,8,106.8,111.7,-4.9,99.0,0.376,0.024,0.541,,0.490,15.6,34.6,0.282,,0.485,14.0,62.8,0.298
14,1984,4,Dallas Mavericks,24.6,4,6,0.400,3,7,106.3,113.7,-7.4,93.8,0.290,0.033,0.501,,0.443,11.4,33.5,0.242,,0.525,11.9,67.4,0.172
15,1984,8,Kansas City Kings,26.0,0,3,0.000,1,2,103.4,111.5,-8.1,99.6,0.292,0.053,0.487,,0.436,11.7,33.1,0.228,,0.530,14.7,69.4,0.257
16,1984,7,Atlanta Hawks,26.4,2,3,0.400,1,4,100.4,110.4,-10.0,93.3,0.394,0.027,0.494,,0.423,14.6,31.6,0.312,,0.539,16.8,67.8,0.296
,1984,,League Average,27.0,,,,5,5,108.7,108.7,,97.9,0.359,0.041,0.540,,0.487,14.1,33.1,0.275,,0.487,14.1,66.9,0.275
