,,,,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,,,,
Rk,Year,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
1,1993,Seattle SuperSonics*,27.7,55,27,59,23,7.07,-0.42,6.66,112.3,104.9,7.4,96.0,0.316,0.085,0.546,,0.502,13.5,35.5,0.241,,0.489,16.4,67.7,0.260,,Seattle Center Coliseum,646589,13453
2,1993,Chicago Bulls*,28.1,57,25,58,24,6.29,-0.10,6.19,112.9,106.1,6.8,92.5,0.271,0.093,0.535,,0.499,12.0,36.3,0.199,,0.493,15.4,68.7,0.239,,Chicago Stadium,759656,18528
3,1993,Cleveland Cavaliers*,28.8,54,28,58,24,6.45,-0.15,6.30,112.7,106.0,6.7,94.8,0.308,0.108,0.565,,0.518,12.5,28.1,0.247,,0.482,13.1,69.1,0.185,,Coliseum at Richfield,751465,18329
4,1993,Phoenix Suns*,28.2,62,20,57,25,6.66,-0.39,6.27,113.3,106.7,6.6,99.8,0.358,0.154,0.566,,0.521,14.2,33.0,0.270,,0.496,13.9,69.2,0.206,,America West Arena,779943,19023
5,1993,New York Knicks*,28.3,60,22,58,24,6.16,-0.29,5.87,106.1,99.7,6.4,94.5,0.336,0.088,0.526,,0.479,14.1,33.1,0.249,,0.444,14.9,72.1,0.294,,Madison Square Garden (IV),804840,19630
6,1993,Houston Rockets*,27.4,55,27,53,29,4.23,-0.66,3.57,109.6,105.2,4.4,94.4,0.310,0.159,0.557,,0.515,14.5,30.0,0.235,,0.474,13.4,68.5,0.201,,The Summit,554210,13492
7,1993,Portland Trail Blazers*,28.2,51,31,49,33,3.11,-0.19,2.92,108.3,105.2,3.1,99.1,0.347,0.115,0.526,,0.476,12.6,32.7,0.259,,0.488,14.8,71.0,0.237,,Memorial Coliseum,528408,12888
8,1993,San Antonio Spurs*,27.5,49,33,48,34,2.67,-0.46,2.21,109.6,106.8,2.8,95.4,0.347,0.102,0.555,,0.507,13.6,27.8,0.265,,0.477,12.3,70.1,0.221,,HemisFair Arena,658337,16057
9,1993,Utah Jazz*,29.3,47,35,47,35,2.17,-0.43,1.74,109.6,107.4,2.2,96.5,0.365,0.061,0.550,,0.498,13.8,31.0,0.279,,0.487,13.9,68.7,0.250,,Delta Center,815892,19900
10,1993,Indiana Pacers*,26.8,41,41,46,36,1.70,0.08,1.77,111.9,110.1,1.8,96.0,0.342,0.112,0.547,,0.498,13.5,34.2,0.262,,0.485,12.7,67.4,0.281,,Market Square Arena,530891,12949
11,1993,Orlando Magic,25.8,41,41,45,37,1.32,0.03,1.35,108.5,107.1,1.4,96.3,0.372,0.133,0.554,,0.509,15.5,31.4,0.271,,0.473,11.9,68.8,0.232,,Orlando Arena,621191,15151
12,1993,New Jersey Nets*,27.3,43,39,45,37,1.26,-0.05,1.20,106.5,105.2,1.3,96.0,0.319,0.069,0.522,,0.473,14.4,35.5,0.244,,0.480,14.1,69.5,0.240,,Brendan Byrne Arena,620416,15132
13,1993,Boston Celtics*,28.6,48,34,43,39,0.89,0.04,0.93,108.7,107.8,0.9,94.9,0.270,0.054,0.536,,0.495,12.9,31.2,0.210,,0.479,12.9,69.0,0.251,,Boston Garden,608495,14890
14,1993,Los Angeles Clippers*,26.7,41,41,42,40,0.35,-0.03,0.33,107.4,107.1,0.3,99.1,0.297,0.067,0.530,,0.493,13.9,32.7,0.213,,0.489,15.1,66.7,0.263,,Los Angeles Memorial Sports Arena,532625,12991
15,1993,Charlotte Hornets*,25.7,44,38,40,42,-0.24,0.22,-0.02,109.5,109.7,-0.2,100.2,0.329,0.074,0.547,,0.499,13.8,31.3,0.254,,0.487,12.6,65.0,0.201,,Charlotte Coliseum,971880,23704
16,1993,Atlanta Hawks*,27.1,43,39,39,43,-0.87,0.20,-0.67,109.3,110.2,-0.9,97.6,0.305,0.148,0.534,,0.493,14.0,34.8,0.227,,0.516,14.6,68.5,0.224,,Omni Coliseum,491229,11981
17,1993,Golden State Warriors,25.0,34,48,38,44,-0.99,0.05,-0.94,109.2,110.2,-1.0,99.5,0.342,0.118,0.543,,0.502,14.9,34.2,0.245,,0.501,14.0,67.0,0.261,,Oakland-Alameda County Coliseum Arena,616025,15025
